ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CATEGORY,SUBCATEGORY,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTFIRSTNAME,PAYMENTLASTNAME
10223,37,100.0,1,3965.66,2/20/2004,Shipped,1,2,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,Ferguson,Peter
10237,23,100.0,7,2333.12,4/5/2004,Shipped,2,4,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Unknown,Frick,Michael,Small,Frick,Michael
10251,28,100.0,2,3188.64,5/18/2004,Shipped,2,5,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Unknown,Newark,NJ,94019,USA,Unknown,Brown,William,Medium,Brown,William
10263,34,100.0,2,3676.76,6/28/2004,Shipped,2,6,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Unknown,Bridgewater,CT,97562,USA,Unknown,King,Julie,Medium,King,Julie
10275,45,92.83,1,4177.35,7/23/2004,Shipped,3,7,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Unknown,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,Medium,Labrune,Janine
10285,36,100.0,6,4099.68,8/27/2004,Shipped,3,8,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Unknown,Cambridge,MA,51247,USA,Unknown,Hernandez,Marta,Medium,Hernandez,Marta
10299,23,100.0,9,2597.39,9/30/2004,Shipped,3,9,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Unknown,Helsinki,Unknown,21240,Finland,EMEA,Karttunen,Matti,Small,Karttunen,Matti
10309,41,100.0,5,4394.38,10/15/2004,Shipped,4,10,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Unknown,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Bergulfsen,Jonas
10318,46,94.74,1,4358.04,11/2/2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Diecast Classics Inc.,2155551555,7586 Pompton St.,Unknown,Allentown,PA,70267,USA,Unknown,Yu,Kyung,Medium,Yu,Kyung
10329,42,100.0,1,4396.14,11/15/2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,Unknown,Yu,Kwai,Medium,Yu,Kwai
10341,41,100.0,9,7737.93,11/24/2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Salzburg Collectables,6562-9555,Geislweg 14,Unknown,Salzburg,Unknown,5020,Austria,EMEA,Pipps,Georg,Large,Pipps,Georg
10361,20,72.55,13,1451.0,12/17/2004,Shipped,4,12,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,Huxley,Adrian
10375,21,34.91,12,733.11,2/3/2005,Shipped,1,2,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Unknown,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,Small,Labrune,Janine
10388,42,76.36,4,3207.12,3/3/2005,Shipped,1,3,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,FunGiftIdeas.com,5085552555,1785 First Street,Unknown,New Bedford,MA,50553,USA,Unknown,Benitez,Violeta,Medium,Benitez,Violeta
10403,24,100.0,7,2434.56,4/8/2005,Shipped,2,4,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Unknown,Liverpool,Unknown,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,Devon,Elizabeth
10417,66,100.0,2,7516.08,5/13/2005,Disputed,2,5,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,Large,Freyre,Diego
10103,26,100.0,11,5404.62,1/29/2003,Shipped,1,1,2003,Classic Cars,214,S10_1949,Furniture,Desk,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Unknown,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Bergulfsen,Jonas
10112,29,100.0,1,7209.11,3/24/2003,Shipped,1,3,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Unknown,Lule,Unknown,S-958 22,Sweden,EMEA,Berglund,Christina,Large,Berglund,Christina
10126,38,100.0,11,7329.06,5/28/2003,Shipped,2,5,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Unknown,Madrid,Unknown,28023,Spain,EMEA,Sommer,Mart¡n,Large,Sommer,Mart¡n
10140,37,100.0,11,7374.1,7/24/2003,Shipped,3,7,2003,Classic Cars,214,S10_1949,Furniture,Desk,Technics Stores Inc.,6505556809,9408 Furth Circle,Unknown,Burlingame,CA,94217,USA,Unknown,Hirano,Juri,Large,Hirano,Juri
10150,45,100.0,8,10993.5,9/19/2003,Shipped,3,9,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Unknown,Singapore,Unknown,79903,Singapore,Japan,Natividad,Eric,Large,Natividad,Eric
10163,21,100.0,1,4860.24,10/20/2003,Shipped,4,10,2003,Classic Cars,214,S10_1949,Furniture,Desk,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Unknown,Hernandez,Maria,Medium,Hernandez,Maria
10174,34,100.0,4,8014.82,11/6/2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Unknown,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,Calaghan,Tony
10183,23,100.0,8,5372.57,11/13/2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Classic Gift Ideas, Inc",2155554695,782 First Street,Unknown,Philadelphia,PA,71270,USA,Unknown,Cervantes,Francisca,Medium,Cervantes,Francisca
10194,42,100.0,11,7290.36,11/25/2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Unknown,Lyon,Unknown,69004,France,EMEA,Saveley,Mary,Large,Saveley,Mary
10206,47,100.0,6,9064.89,12/5/2003,Shipped,4,12,2003,Classic Cars,214,S10_1949,Furniture,Desk,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Unknown,Vancouver,BC,V3F 2K1,Canada,Unknown,Tannamuri,Yoshi,Large,Tannamuri,Yoshi
10215,35,100.0,3,6075.3,1/29/2004,Shipped,1,1,2004,Classic Cars,214,S10_1949,Furniture,Desk,West Coast Collectables Co.,3105553722,3675 Furth Circle,Unknown,Burbank,CA,94019,USA,Unknown,Thompson,Steve,Medium,Thompson,Steve
10228,29,100.0,2,6463.23,3/10/2004,Shipped,1,3,2004,Classic Cars,214,S10_1949,Furniture,Desk,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Unknown,Cambridge,MA,51247,USA,Unknown,Tseng,Kyung,Medium,Tseng,Kyung
10245,34,100.0,9,6120.34,5/4/2004,Shipped,2,5,2004,Classic Cars,214,S10_1949,Furniture,Desk,Super Scale Inc.,2035559545,567 North Pendale Street,Unknown,New Haven,CT,97823,USA,Unknown,Murphy,Leslie,Medium,Murphy,Leslie
10258,32,100.0,6,7680.64,6/15/2004,Shipped,2,6,2004,Classic Cars,214,S10_1949,Furniture,Desk,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Unknown,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,Shimamura,Akiko
10270,21,100.0,9,4905.39,7/19/2004,Shipped,3,7,2004,Classic Cars,214,S10_1949,Furniture,Desk,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,Huxley,Adrian
10280,34,100.0,2,8014.82,8/17/2004,Shipped,3,8,2004,Classic Cars,214,S10_1949,Furniture,Desk,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Unknown,Torino,Unknown,10100,Italy,EMEA,Accorti,Paolo,Large,Accorti,Paolo
10291,37,100.0,11,7136.19,9/8/2004,Shipped,3,9,2004,Classic Cars,214,S10_1949,Furniture,Desk,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Unknown,Boras,Unknown,S-844 67,Sweden,EMEA,Larsson,Maria,Large,Larsson,Maria
10304,47,100.0,6,10172.7,10/11/2004,Shipped,4,10,2004,Classic Cars,214,S10_1949,Furniture,Desk,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Unknown,Versailles,Unknown,78000,France,EMEA,Tonini,Daniel,Large,Tonini,Daniel
10312,48,100.0,3,11623.7,10/21/2004,Shipped,4,10,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Unknown,San Rafael,CA,97562,USA,Unknown,Nelson,Valarie,Large,Nelson,Valarie
10322,40,100.0,1,6000.4,11/4/2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Unknown,Nashua,NH,62005,USA,Unknown,Young,Valarie,Medium,Young,Valarie
10333,26,100.0,3,3003.0,11/18/2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Wheels Co.,6505555787,5557 North Pendale Street,Unknown,San Francisco,CA,0,USA,Unknown,Murphy,Julie,Medium,Murphy,Julie
10347,30,100.0,1,3944.7,11/29/2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,Ferguson,Peter
10357,32,100.0,10,5691.84,12/10/2004,Shipped,4,12,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Unknown,San Rafael,CA,97562,USA,Unknown,Nelson,Valarie,Medium,Nelson,Valarie
10369,41,100.0,2,4514.92,1/20/2005,Shipped,1,1,2005,Classic Cars,214,S10_1949,Furniture,Desk,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Unknown,Brickhaven,MA,58339,USA,Unknown,Nelson,Allen,Medium,Nelson,Allen
10381,36,100.0,3,8254.8,2/17/2005,Shipped,1,2,2005,Classic Cars,214,S10_1949,Furniture,Desk,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Unknown,San Francisco,CA,0,USA,Unknown,Brown,Julie,Large,Brown,Julie
10391,24,100.0,4,2416.56,3/9/2005,Shipped,1,3,2005,Classic Cars,214,S10_1949,Furniture,Desk,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,O'Hara,Anna
10411,23,100.0,9,4140.23,5/1/2005,Shipped,2,5,2005,Classic Cars,214,S10_1949,Furniture,Desk,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Unknown,Montreal,Quebec,H1J 1C3,Canada,Unknown,Fresnisre,Jean,Medium,Fresnisre,Jean
10424,50,100.0,6,12001.0,5/31/2005,In Process,2,5,2005,Classic Cars,214,S10_1949,Furniture,Desk,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,Large,Freyre,Diego
10120,29,96.34,3,2793.86,4/29/2003,Shipped,2,4,2003,Motorcycles,118,S10_2016,Furniture,Chair,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,Ferguson,Peter
10210,23,100.0,2,3009.09,1/12/2004,Shipped,1,1,2004,Motorcycles,118,S10_2016,Furniture,Chair,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Unknown,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,Kentary,Mory
10236,22,100.0,1,2852.08,4/3/2004,Shipped,2,4,2004,Motorcycles,118,S10_2016,Furniture,Chair,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Unknown,Philadelphia,PA,71270,USA,Unknown,Hernandez,Rosa,Small,Hernandez,Rosa
10298,39,96.34,1,3757.26,9/27/2004,Shipped,3,9,2004,Motorcycles,118,S10_2016,Furniture,Chair,Atelier graphique,40.32.2555,"54, rue Royale",Unknown,Nantes,Unknown,44000,France,EMEA,Schmitt,Carine,Medium,Schmitt,Carine
10308,34,100.0,2,4043.96,10/15/2004,Shipped,4,10,2004,Motorcycles,118,S10_2016,Furniture,Chair,Mini Classics,9145554562,3758 North Pendale Street,Unknown,White Plains,NY,24067,USA,Unknown,Frick,Steve,Medium,Frick,Steve
10339,40,68.92,4,2756.8,11/23/2004,Shipped,4,11,2004,Motorcycles,118,S10_2016,Furniture,Chair,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Unknown,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,Shimamura,Akiko
10374,39,100.0,5,5288.01,2/2/2005,Shipped,1,2,2005,Motorcycles,118,S10_2016,Furniture,Chair,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Unknown,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,Calaghan,Tony
10402,45,100.0,1,5833.8,4/7/2005,Shipped,2,4,2005,Motorcycles,118,S10_2016,Furniture,Chair,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Unknown,Paris,Unknown,75016,France,EMEA,Perrier,Dominique,Medium,Perrier,Dominique
10362,22,100.0,4,3664.1,1/5/2005,Shipped,1,1,2005,Motorcycles,193,S10_4698,Furniture,Bookshelf,Technics Stores Inc.,6505556809,9408 Furth Circle,Unknown,Burlingame,CA,94217,USA,Unknown,Hirano,Juri,Medium,Hirano,Juri
10105,50,100.0,2,7208.0,2/11/2003,Shipped,1,2,2003,Classic Cars,136,S10_4757,Furniture,Desk,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Unknown,Kobenhavn,Unknown,1734,Denmark,EMEA,Petersen,Jytte,Large,Petersen,Jytte
10119,46,100.0,11,5004.8,4/28/2003,Shipped,2,4,2003,Classic Cars,136,S10_4757,Furniture,Desk,Salzburg Collectables,6562-9555,Geislweg 14,Unknown,Salzburg,Unknown,5020,Austria,EMEA,Pipps,Georg,Medium,Pipps,Georg
10129,33,100.0,2,4398.24,6/12/2003,Shipped,2,6,2003,Classic Cars,136,S10_4757,Furniture,Desk,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,Unknown,London,Unknown,WX3 6FW,UK,EMEA,Brown,Ann,Medium,Brown,Ann
10143,49,100.0,15,5597.76,8/10/2003,Shipped,3,8,2003,Classic Cars,136,S10_4757,Furniture,Desk,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,Unknown,New Bedford,MA,50553,USA,Unknown,Tam,Wing C,Medium,Tam,WingC
10155,32,100.0,13,4526.08,10/6/2003,Shipped,4,10,2003,Classic Cars,136,S10_4757,Furniture,Desk,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Unknown,Helsinki,Unknown,21240,Finland,EMEA,Karttunen,Matti,Medium,Karttunen,Matti
10167,44,100.0,9,5924.16,10/23/2003,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Furniture,Desk,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Unknown,Boras,Unknown,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,Larsson,Maria
10178,24,100.0,12,3492.48,11/8/2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,Furniture,Desk,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Unknown,Toulouse,Unknown,31000,France,EMEA,Roulet,Annette,Medium,Roulet,Annette
10186,26,100.0,9,3854.24,11/14/2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,Furniture,Desk,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,Unknown,London,Unknown,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium,Hardy,Thomas
10197,45,100.0,6,5324.4,11/26/2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,Furniture,Desk,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Unknown,Barcelona,Unknown,8022,Spain,EMEA,Saavedra,Eduardo,Medium,Saavedra,Eduardo
10209,39,100.0,8,5197.92,1/9/2004,Shipped,1,1,2004,Classic Cars,136,S10_4757,Furniture,Desk,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Unknown,Los Angeles,CA,0,USA,Unknown,Chandler,Michael,Medium,Chandler,Michael
10222,49,100.0,12,5997.6,2/19/2004,Shipped,1,2,2004,Classic Cars,136,S10_4757,Furniture,Desk,Collectable Mini Designs Co.,7605558146,361 Furth Circle,Unknown,San Diego,CA,91217,USA,Unknown,Thompson,Valarie,Medium,Thompson,Valarie
10248,20,100.0,3,2910.4,5/7/2004,Cancelled,2,5,2004,Classic Cars,136,S10_4757,Furniture,Desk,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,Unknown,Yu,Kwai,Small,Yu,Kwai
10261,27,100.0,1,3378.24,6/17/2004,Shipped,2,6,2004,Classic Cars,136,S10_4757,Furniture,Desk,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Unknown,Montreal,Quebec,H1J 1C3,Canada,Unknown,Fresnisre,Jean,Medium,Fresnisre,Jean
10273,30,100.0,4,3508.8,7/21/2004,Shipped,3,7,2004,Classic Cars,136,S10_4757,Furniture,Desk,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Unknown,Bruxelles,Unknown,B-1180,Belgium,EMEA,Dewey,Catherine,Medium,Dewey,Catherine
10283,25,100.0,6,2992.0,8/20/2004,Shipped,3,8,2004,Classic Cars,136,S10_4757,Furniture,Desk,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Unknown,Tsawassen,BC,T2F 8M4,Canada,Unknown,Lincoln,Elizabeth,Small,Lincoln,Elizabeth
10295,24,100.0,1,3427.2,9/10/2004,Shipped,3,9,2004,Classic Cars,136,S10_4757,Furniture,Desk,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Unknown,Boston,MA,51003,USA,Unknown,Yoshido,Juri,Medium,Yoshido,Juri
10307,22,100.0,9,2692.8,10/14/2004,Shipped,4,10,2004,Classic Cars,136,S10_4757,Furniture,Desk,"Classic Gift Ideas, Inc",2155554695,782 First Street,Unknown,Philadelphia,PA,71270,USA,Unknown,Cervantes,Francisca,Small,Cervantes,Francisca
10316,33,100.0,17,4128.96,11/1/2004,Shipped,4,11,2004,Classic Cars,136,S10_4757,Furniture,Desk,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Unknown,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,Medium,Bennett,Helen
10325,47,64.93,6,3051.71,11/5/2004,Shipped,4,11,2004,Classic Cars,136,S10_4757,Furniture,Desk,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Unknown,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Bergulfsen,Jonas
10337,25,48.05,8,1201.25,11/21/2004,Shipped,4,11,2004,Classic Cars,136,S10_4757,Furniture,Desk,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Unknown,Hernandez,Maria,Small,Hernandez,Maria
10350,26,75.47,5,1962.22,12/2/2004,Shipped,4,12,2004,Classic Cars,136,S10_4757,Furniture,Desk,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,Small,Freyre,Diego
10359,48,54.68,6,2624.64,12/15/2004,Shipped,4,12,2004,Classic Cars,136,S10_4757,Furniture,Desk,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Unknown,Reims,Unknown,51100,France,EMEA,Henriot,Paul,Small,Henriot,Paul
10373,39,100.0,3,4046.25,1/31/2005,Shipped,1,1,2005,Classic Cars,136,S10_4757,Furniture,Desk,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Unknown,Oulu,Unknown,90110,Finland,EMEA,Koskitalo,Pirkko,Medium,Koskitalo,Pirkko
10384,34,100.0,4,4846.7,2/23/2005,Shipped,1,2,2005,Classic Cars,136,S10_4757,Furniture,Desk,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Unknown,San Francisco,CA,0,USA,Unknown,Brown,Julie,Medium,Brown,Julie
10395,32,100.0,2,3370.56,3/17/2005,Shipped,1,3,2005,Classic Cars,136,S10_4757,Furniture,Desk,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Unknown,Paris,Unknown,75508,France,EMEA,Da Cunha,Daniel,Medium,DaCunha,Daniel
10400,64,100.0,9,9661.44,4/1/2005,Shipped,2,4,2005,Classic Cars,136,S10_4757,Furniture,Desk,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,Unknown,San Jose,CA,94217,USA,Unknown,Frick,Sue,Large,Frick,Sue
10414,19,100.0,3,2764.88,5/6/2005,On Hold,2,5,2005,Classic Cars,136,S10_4757,Furniture,Desk,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Unknown,Boston,MA,51003,USA,Unknown,Yoshido,Juri,Small,Yoshido,Juri
10114,31,100.0,8,4305.28,4/1/2003,Shipped,2,4,2003,Classic Cars,147,S10_4962,Furniture,Cabinet,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Unknown,Paris,Unknown,75012,France,EMEA,Bertrand,Marie,Medium,Bertrand,Marie
10164,21,100.0,2,3536.82,10/21/2003,Resolved,4,10,2003,Classic Cars,147,S10_4962,Furniture,Cabinet,Mini Auto Werke,7675-3555,Kirchgasse 6,Unknown,Graz,Unknown,8010,Austria,EMEA,Mendel,Roland,Medium,Mendel,Roland
10175,33,100.0,9,5362.83,11/6/2003,Shipped,4,11,2003,Classic Cars,147,S10_4962,Furniture,Cabinet,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,Unknown,London,Unknown,WX3 6FW,UK,EMEA,Brown,Ann,Medium,Brown,Ann
10207,31,100.0,15,4076.19,12/9/2003,Shipped,4,12,2003,Classic Cars,147,S10_4962,Furniture,Cabinet,Diecast Collectables,6175552555,6251 Ingle Ln.,Unknown,Boston,MA,51003,USA,Unknown,Franco,Valarie,Medium,Franco,Valarie
10217,48,100.0,4,7020.48,2/4/2004,Shipped,1,2,2004,Classic Cars,147,S10_4962,Furniture,Cabinet,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,Unknown,69045,Singapore,APAC,Victorino,Wendy,Large,Victorino,Wendy
